"evt_block_time","tokens_minted"
"2021-06-06","28"
"2021-06-07","13"
"2021-06-08","19"
"2021-06-09","12"
"2021-06-10","15"
"2021-06-11","1027"
"2021-06-12","34"
"2021-06-13","328"
"2021-06-14","31"
"2021-06-15","74"
"2021-06-16","225"
"2021-06-17","131"
"2021-06-18","1040"
"2021-06-19","121"
"2021-06-20","320"
"2021-06-21","48"
"2021-06-22","94"
"2021-06-23","180"
"2021-06-24","1879"
"2021-06-25","1560"
"2021-06-26","804"
"2021-06-27","454"
"2021-06-28","931"
"2021-06-29","262"
"2021-06-30","513"
