"evt_block_time","tokens_minted"
"2021-09-16","1014"
"2021-09-17","385"
"2021-09-18","2"
"2021-09-19","1"
"2021-09-20","1"
"2021-09-21","1000"
"2021-09-22","1009"
"2021-09-23","679"
"2021-09-24","1276"
"2021-09-25","147"
"2021-09-26","147"
"2021-09-27","1808"
"2021-09-28","1579"
"2021-09-29","66"
"2021-09-30","834"
"2021-10-01","1868"
"2021-10-02","372"
"2021-10-03","66"
"2021-10-04","41"
"2021-10-05","324"
"2021-10-06","1092"
"2021-10-07","30"
"2021-10-08","42"
"2021-10-09","35"
"2021-10-10","17"
