"evt_block_time","tokens_minted"
"2021-11-30","85"
"2021-12-01","34"
"2021-12-02","110"
"2021-12-03","39"
"2021-12-04","61"
"2021-12-05","85"
"2021-12-06","1033"
"2021-12-07","955"
"2021-12-08","194"
"2021-12-09","769"
"2021-12-10","176"
"2021-12-11","108"
"2021-12-12","80"
"2021-12-13","1043"
"2021-12-14","1264"
"2021-12-15","178"
"2021-12-16","213"
"2021-12-17","550"
"2021-12-18","246"
"2021-12-19","73"
"2021-12-20","1071"
"2021-12-21","234"
"2021-12-22","111"
"2021-12-23","58"
"2021-12-24","37"
