"evt_block_time","tokens_minted"
"2021-11-05","372"
"2021-11-06","142"
"2021-11-07","99"
"2021-11-08","1019"
"2021-11-09","129"
"2021-11-10","71"
"2021-11-11","178"
"2021-11-12","265"
"2021-11-13","291"
"2021-11-14","297"
"2021-11-15","1522"
"2021-11-16","2092"
"2021-11-17","60"
"2021-11-18","62"
"2021-11-19","228"
"2021-11-20","178"
"2021-11-21","112"
"2021-11-22","1066"
"2021-11-23","494"
"2021-11-24","151"
"2021-11-25","52"
"2021-11-26","56"
"2021-11-27","79"
"2021-11-28","26"
"2021-11-29","1047"
