,value,trait_type,collectionTokenId
0,All Seadragons,Seadragons,160000742
1,dual: false,Seadragons,160000742
2,pose: 1,Seadragons,160000742
3,belly: false,Seadragons,160000742
4,theme: classic,Seadragons,160000742
5,parent: false,Seadragons,160000742
6,seaweed: false,Seadragons,160000742
7,seadragon: weedy,Seadragons,160000742
8,variation: bold,Seadragons,160000742
9,background: light,Seadragons,160000742
10,superdragon: true,Seadragons,160000742
11,All Seadragons,Seadragons,160000743
12,dual: false,Seadragons,160000743
13,pose: 0,Seadragons,160000743
14,belly: true,Seadragons,160000743
15,theme: classic,Seadragons,160000743
16,parent: false,Seadragons,160000743
17,seaweed: false,Seadragons,160000743
18,seadragon: ribboned,Seadragons,160000743
19,variation: calm,Seadragons,160000743
20,background: light,Seadragons,160000743
21,superdragon: true,Seadragons,160000743
22,All Seadragons,Seadragons,160000744
23,dual: false,Seadragons,160000744
24,pose: 0,Seadragons,160000744
25,belly: false,Seadragons,160000744
26,theme: frog,Seadragons,160000744
27,parent: false,Seadragons,160000744
28,seaweed: true,Seadragons,160000744
29,seadragon: ribboned,Seadragons,160000744
30,variation: complimentary,Seadragons,160000744
31,background: white,Seadragons,160000744
32,superdragon: false,Seadragons,160000744
33,All Seadragons,Seadragons,160000745
34,dual: false,Seadragons,160000745
35,pose: 0,Seadragons,160000745
36,belly: false,Seadragons,160000745
37,theme: debug,Seadragons,160000745
38,parent: false,Seadragons,160000745
39,seaweed: false,Seadragons,160000745
40,seadragon: leafy,Seadragons,160000745
41,variation: uvs,Seadragons,160000745
42,background: light,Seadragons,160000745
43,superdragon: true,Seadragons,160000745
44,All Seadragons,Seadragons,160000746
45,dual: true,Seadragons,160000746
46,pose: 0,Seadragons,160000746
47,belly: false,Seadragons,160000746
48,theme: noir-color,Seadragons,160000746
49,parent: false,Seadragons,160000746
50,seaweed: true,Seadragons,160000746
51,seadragon: ribboned,Seadragons,160000746
52,variation: complimentary,Seadragons,160000746
53,background: light,Seadragons,160000746
54,superdragon: false,Seadragons,160000746
55,All Seadragons,Seadragons,160000747
56,dual: false,Seadragons,160000747
57,pose: 0,Seadragons,160000747
58,belly: true,Seadragons,160000747
59,theme: noir,Seadragons,160000747
60,parent: false,Seadragons,160000747
61,seaweed: false,Seadragons,160000747
62,seadragon: leafy,Seadragons,160000747
63,variation: mono,Seadragons,160000747
64,background: white,Seadragons,160000747
65,superdragon: false,Seadragons,160000747
66,All Seadragons,Seadragons,160000748
67,dual: false,Seadragons,160000748
68,pose: 1,Seadragons,160000748
69,belly: true,Seadragons,160000748
70,theme: frog,Seadragons,160000748
71,parent: false,Seadragons,160000748
72,seaweed: true,Seadragons,160000748
73,seadragon: ribboned,Seadragons,160000748
74,variation: analogous,Seadragons,160000748
75,background: white,Seadragons,160000748
76,superdragon: true,Seadragons,160000748
77,All Seadragons,Seadragons,160000749
78,dual: false,Seadragons,160000749
79,pose: 1,Seadragons,160000749
80,belly: true,Seadragons,160000749
81,theme: noir-color,Seadragons,160000749
82,parent: false,Seadragons,160000749
83,seaweed: true,Seadragons,160000749
84,seadragon: weedy,Seadragons,160000749
85,variation: analogous-saturated,Seadragons,160000749
86,background: white,Seadragons,160000749
87,superdragon: true,Seadragons,160000749
88,All Color Studys,Color Study,16000075
89,Rows: 20,Color Study,16000075
90,Layout: Adjacent,Color Study,16000075
91,Columns: 3,Color Study,16000075
92,Color Override: None,Color Study,16000075
93,Color Modification: None,Color Study,16000075
94,All Seadragons,Seadragons,160000750
95,dual: false,Seadragons,160000750
96,pose: 0,Seadragons,160000750
97,belly: false,Seadragons,160000750
98,theme: zebra,Seadragons,160000750
99,parent: false,Seadragons,160000750
100,seaweed: true,Seadragons,160000750
101,seadragon: ribboned,Seadragons,160000750
102,variation: zebra-stripes,Seadragons,160000750
103,background: dark,Seadragons,160000750
104,superdragon: true,Seadragons,160000750
105,All Seadragons,Seadragons,160000751
106,dual: false,Seadragons,160000751
107,pose: 1,Seadragons,160000751
108,belly: false,Seadragons,160000751
109,theme: noir,Seadragons,160000751
110,parent: false,Seadragons,160000751
111,seaweed: true,Seadragons,160000751
112,seadragon: leafy,Seadragons,160000751
113,variation: mono-color,Seadragons,160000751
114,background: black,Seadragons,160000751
115,superdragon: false,Seadragons,160000751
116,All Seadragons,Seadragons,160000752
117,dual: false,Seadragons,160000752
118,pose: 0,Seadragons,160000752
119,belly: true,Seadragons,160000752
120,theme: frog,Seadragons,160000752
121,parent: false,Seadragons,160000752
122,seaweed: true,Seadragons,160000752
123,seadragon: ribboned,Seadragons,160000752
124,variation: complimentary,Seadragons,160000752
125,background: white,Seadragons,160000752
126,superdragon: false,Seadragons,160000752
127,All Seadragons,Seadragons,160000753
128,dual: false,Seadragons,160000753
129,pose: 2,Seadragons,160000753
130,belly: false,Seadragons,160000753
131,theme: vintage,Seadragons,160000753
132,parent: false,Seadragons,160000753
133,seaweed: true,Seadragons,160000753
134,seadragon: leafy,Seadragons,160000753
135,variation: vintage-dots,Seadragons,160000753
136,background: dark,Seadragons,160000753
137,superdragon: false,Seadragons,160000753
138,All Seadragons,Seadragons,160000754
139,dual: true,Seadragons,160000754
140,pose: 0,Seadragons,160000754
141,belly: false,Seadragons,160000754
142,theme: noir,Seadragons,160000754
143,parent: false,Seadragons,160000754
144,seaweed: false,Seadragons,160000754
145,seadragon: leafy,Seadragons,160000754
146,variation: mono,Seadragons,160000754
147,background: white,Seadragons,160000754
148,superdragon: false,Seadragons,160000754
149,All Seadragons,Seadragons,160000755
150,dual: false,Seadragons,160000755
151,pose: 2,Seadragons,160000755
152,belly: false,Seadragons,160000755
153,theme: debug,Seadragons,160000755
154,parent: true,Seadragons,160000755
155,seaweed: false,Seadragons,160000755
156,seadragon: leafy,Seadragons,160000755
157,variation: normals,Seadragons,160000755
158,background: black,Seadragons,160000755
159,superdragon: true,Seadragons,160000755
160,All Seadragons,Seadragons,160000756
161,dual: false,Seadragons,160000756
162,pose: 0,Seadragons,160000756
163,belly: false,Seadragons,160000756
164,theme: debug,Seadragons,160000756
165,parent: false,Seadragons,160000756
166,seaweed: false,Seadragons,160000756
167,seadragon: weedy,Seadragons,160000756
168,variation: ghost,Seadragons,160000756
169,background: light,Seadragons,160000756
170,superdragon: true,Seadragons,160000756
171,All Seadragons,Seadragons,160000757
172,dual: false,Seadragons,160000757
173,pose: 0,Seadragons,160000757
174,belly: false,Seadragons,160000757
175,theme: frog,Seadragons,160000757
176,parent: false,Seadragons,160000757
177,seaweed: true,Seadragons,160000757
178,seadragon: ribboned,Seadragons,160000757
179,variation: complimentary,Seadragons,160000757
180,background: white,Seadragons,160000757
181,superdragon: true,Seadragons,160000757
182,All Seadragons,Seadragons,160000758
183,dual: false,Seadragons,160000758
184,pose: 2,Seadragons,160000758
185,belly: true,Seadragons,160000758
186,theme: zebra,Seadragons,160000758
187,parent: false,Seadragons,160000758
188,seaweed: true,Seadragons,160000758
189,seadragon: weedy,Seadragons,160000758
190,variation: zebra-dots,Seadragons,160000758
191,background: dark,Seadragons,160000758
192,superdragon: false,Seadragons,160000758
193,All Seadragons,Seadragons,160000759
194,dual: false,Seadragons,160000759
195,pose: 1,Seadragons,160000759
