,value,trait_type,collectionTokenId
0,All Paper Armadas,Paper Armada,37002341
1,Type: Trooper,Paper Armada,37002341
2,Angle: Tilted left,Paper Armada,37002341
3,Width: 16,Paper Armada,37002341
4,Height: 22,Paper Armada,37002341
5,Palette: Main Course,Paper Armada,37002341
6,Base color: White,Paper Armada,37002341
7,Unit shape: Ship,Paper Armada,37002341
8,Coordination: Bad,Paper Armada,37002341
9,Coloring strategy: Group,Paper Armada,37002341
10,All Paper Armadas,Paper Armada,37002342
11,Type: Trooper,Paper Armada,37002342
12,Angle: Tilted left,Paper Armada,37002342
13,Width: 12,Paper Armada,37002342
14,Height: 20,Paper Armada,37002342
15,Palette: Dayspring,Paper Armada,37002342
16,Base color: White,Paper Armada,37002342
17,Unit shape: Ship,Paper Armada,37002342
18,Coordination: Bad,Paper Armada,37002342
19,Coloring strategy: Group,Paper Armada,37002342
20,All Paper Armadas,Paper Armada,37002343
21,Type: Trooper,Paper Armada,37002343
22,Angle: Tilted left,Paper Armada,37002343
23,Width: 12,Paper Armada,37002343
24,Height: 22,Paper Armada,37002343
25,Palette: Gold Rush,Paper Armada,37002343
26,Base color: White,Paper Armada,37002343
27,Unit shape: Ship,Paper Armada,37002343
28,Coordination: Bad,Paper Armada,37002343
29,Coloring strategy: Group,Paper Armada,37002343
30,All Paper Armadas,Paper Armada,37002344
31,Type: Mothership,Paper Armada,37002344
32,Angle: Tilted left,Paper Armada,37002344
33,Palette: Overgrown,Paper Armada,37002344
34,Base color: White,Paper Armada,37002344
35,Unit shape: Ship,Paper Armada,37002344
36,Coloring strategy: Group,Paper Armada,37002344
37,All Paper Armadas,Paper Armada,37002345
38,Type: Carrier,Paper Armada,37002345
39,Angle: Tilted left,Paper Armada,37002345
40,Palette: Delphi,Paper Armada,37002345
41,Crew size: 4,Paper Armada,37002345
42,Base color: White,Paper Armada,37002345
43,Unit shape: Ship,Paper Armada,37002345
44,Coordination: Good,Paper Armada,37002345
45,Coloring strategy: Group,Paper Armada,37002345
46,All Paper Armadas,Paper Armada,37002346
47,Type: Trooper,Paper Armada,37002346
48,Angle: Tilted right,Paper Armada,37002346
49,Width: 14,Paper Armada,37002346
50,Height: 18,Paper Armada,37002346
51,Palette: Magic Hour,Paper Armada,37002346
52,Base color: White,Paper Armada,37002346
53,Unit shape: Ship,Paper Armada,37002346
54,Coordination: Bad,Paper Armada,37002346
55,Coloring strategy: Group,Paper Armada,37002346
56,All Paper Armadas,Paper Armada,37002347
57,Type: Convoy,Paper Armada,37002347
58,Angle: Tilted right,Paper Armada,37002347
59,Palette: Hotspot,Paper Armada,37002347
60,Base color: Black,Paper Armada,37002347
61,Unit shape: Ship,Paper Armada,37002347
62,Coordination: Good,Paper Armada,37002347
63,Coloring strategy: Group,Paper Armada,37002347
64,All Paper Armadas,Paper Armada,37002348
65,Type: Trooper,Paper Armada,37002348
66,Angle: Tilted left,Paper Armada,37002348
67,Width: 12,Paper Armada,37002348
68,Height: 18,Paper Armada,37002348
69,Palette: Junkyard,Paper Armada,37002348
70,Base color: White,Paper Armada,37002348
71,Unit shape: Ship,Paper Armada,37002348
