,value,trait_type,collectionTokenId
0,All Scribbled Boundaries,Scribbled Boundaries,131000080
1,Color Mode: Hockney,Scribbled Boundaries,131000080
2,Shape Mode: Kelly,Scribbled Boundaries,131000080
3,Aspect Ratio: Standard,Scribbled Boundaries,131000080
4,Thickness Mode: Standard,Scribbled Boundaries,131000080
5,All Scribbled Boundaries,Scribbled Boundaries,131000081
6,Color Mode: Hockney,Scribbled Boundaries,131000081
7,Shape Mode: Wassily,Scribbled Boundaries,131000081
8,Aspect Ratio: Standard,Scribbled Boundaries,131000081
9,Thickness Mode: Jackson,Scribbled Boundaries,131000081
10,All Scribbled Boundaries,Scribbled Boundaries,131000082
11,Color Mode: Hockney,Scribbled Boundaries,131000082
12,Shape Mode: Kelly,Scribbled Boundaries,131000082
13,Aspect Ratio: Standard,Scribbled Boundaries,131000082
14,Thickness Mode: Jackson,Scribbled Boundaries,131000082
15,All Scribbled Boundaries,Scribbled Boundaries,131000083
16,Color Mode: Standard,Scribbled Boundaries,131000083
17,Shape Mode: Piet,Scribbled Boundaries,131000083
18,Aspect Ratio: Standard,Scribbled Boundaries,131000083
19,Thickness Mode: Standard,Scribbled Boundaries,131000083
20,All Scribbled Boundaries,Scribbled Boundaries,131000084
21,Color Mode: Hockney,Scribbled Boundaries,131000084
22,Shape Mode: Melita,Scribbled Boundaries,131000084
23,Aspect Ratio: Standard,Scribbled Boundaries,131000084
24,Thickness Mode: Standard,Scribbled Boundaries,131000084
25,All Scribbled Boundaries,Scribbled Boundaries,131000085
26,Color Mode: Standard,Scribbled Boundaries,131000085
27,Shape Mode: de Kooning,Scribbled Boundaries,131000085
28,Aspect Ratio: Standard,Scribbled Boundaries,131000085
29,Thickness Mode: Standard,Scribbled Boundaries,131000085
30,All Scribbled Boundaries,Scribbled Boundaries,131000086
31,Color Mode: Hockney,Scribbled Boundaries,131000086
32,Shape Mode: Twombly,Scribbled Boundaries,131000086
33,Aspect Ratio: Standard,Scribbled Boundaries,131000086
34,Thickness Mode: Richter,Scribbled Boundaries,131000086
35,All Scribbled Boundaries,Scribbled Boundaries,131000087
36,Color Mode: Standard,Scribbled Boundaries,131000087
37,Shape Mode: Twombly,Scribbled Boundaries,131000087
38,Aspect Ratio: Standard,Scribbled Boundaries,131000087
39,Thickness Mode: Standard,Scribbled Boundaries,131000087
40,All Scribbled Boundaries,Scribbled Boundaries,131000088
41,Color Mode: Hockney,Scribbled Boundaries,131000088
42,Shape Mode: Melita,Scribbled Boundaries,131000088
43,Aspect Ratio: Standard,Scribbled Boundaries,131000088
44,Thickness Mode: Jackson,Scribbled Boundaries,131000088
45,All Scribbled Boundaries,Scribbled Boundaries,131000089
46,Color Mode: Kline,Scribbled Boundaries,131000089
47,Shape Mode: Wassily,Scribbled Boundaries,131000089
48,Aspect Ratio: Standard,Scribbled Boundaries,131000089
49,Thickness Mode: Jackson,Scribbled Boundaries,131000089
50,,,131000090
51,All Scribbled Boundaries,Scribbled Boundaries,131000091
52,Color Mode: Standard,Scribbled Boundaries,131000091
53,Shape Mode: de Kooning,Scribbled Boundaries,131000091
54,Aspect Ratio: Standard,Scribbled Boundaries,131000091
55,Thickness Mode: Standard,Scribbled Boundaries,131000091
56,All Scribbled Boundaries,Scribbled Boundaries,131000092
57,Color Mode: Hockney,Scribbled Boundaries,131000092
58,Shape Mode: Sugimoto,Scribbled Boundaries,131000092
59,Aspect Ratio: Standard,Scribbled Boundaries,131000092
60,Thickness Mode: Standard,Scribbled Boundaries,131000092
61,All Scribbled Boundaries,Scribbled Boundaries,131000094
62,Color Mode: Hockney,Scribbled Boundaries,131000094
63,Shape Mode: Mark,Scribbled Boundaries,131000094
64,Aspect Ratio: Standard,Scribbled Boundaries,131000094
65,Thickness Mode: Agnes,Scribbled Boundaries,131000094
66,All Scribbled Boundaries,Scribbled Boundaries,131000095
67,Color Mode: Standard,Scribbled Boundaries,131000095
68,Shape Mode: Arp,Scribbled Boundaries,131000095
69,Aspect Ratio: Standard,Scribbled Boundaries,131000095
70,Thickness Mode: Malevich,Scribbled Boundaries,131000095
71,All Scribbled Boundaries,Scribbled Boundaries,131000096
72,Color Mode: Hockney,Scribbled Boundaries,131000096
73,Shape Mode: Wassily,Scribbled Boundaries,131000096
74,Aspect Ratio: Standard,Scribbled Boundaries,131000096
75,Thickness Mode: Jackson,Scribbled Boundaries,131000096
76,All Scribbled Boundaries,Scribbled Boundaries,131000097
77,Color Mode: Standard,Scribbled Boundaries,131000097
78,Shape Mode: Bridget,Scribbled Boundaries,131000097
79,Aspect Ratio: Standard,Scribbled Boundaries,131000097
80,Thickness Mode: Standard,Scribbled Boundaries,131000097
81,All Scribbled Boundaries,Scribbled Boundaries,131000098
82,Color Mode: Hockney,Scribbled Boundaries,131000098
83,Shape Mode: Mark,Scribbled Boundaries,131000098
84,Aspect Ratio: Standard,Scribbled Boundaries,131000098
85,Thickness Mode: Standard,Scribbled Boundaries,131000098
86,All Scribbled Boundaries,Scribbled Boundaries,131000099
87,Color Mode: Standard,Scribbled Boundaries,131000099
88,Shape Mode: Wassily,Scribbled Boundaries,131000099
89,Aspect Ratio: Standard,Scribbled Boundaries,131000099
90,Thickness Mode: Standard,Scribbled Boundaries,131000099
91,All Scribbled Boundaries,Scribbled Boundaries,131000100
92,Color Mode: Standard,Scribbled Boundaries,131000100
93,Shape Mode: Melita,Scribbled Boundaries,131000100
94,Aspect Ratio: Standard,Scribbled Boundaries,131000100
95,Thickness Mode: Standard,Scribbled Boundaries,131000100
96,All Scribbled Boundaries,Scribbled Boundaries,131000101
97,Color Mode: Hockney,Scribbled Boundaries,131000101
98,Shape Mode: Gorchov,Scribbled Boundaries,131000101
99,Aspect Ratio: Standard,Scribbled Boundaries,131000101
100,Thickness Mode: Jackson,Scribbled Boundaries,131000101
101,All Scribbled Boundaries,Scribbled Boundaries,131000102
102,Color Mode: Kline,Scribbled Boundaries,131000102
103,Shape Mode: Melita,Scribbled Boundaries,131000102
104,Aspect Ratio: Standard,Scribbled Boundaries,131000102
105,Thickness Mode: Malevich,Scribbled Boundaries,131000102
106,All Scribbled Boundaries,Scribbled Boundaries,131000103
107,Color Mode: Kline,Scribbled Boundaries,131000103
108,Shape Mode: Piet,Scribbled Boundaries,131000103
109,Aspect Ratio: Standard,Scribbled Boundaries,131000103
110,Thickness Mode: Agnes,Scribbled Boundaries,131000103
111,All Scribbled Boundaries,Scribbled Boundaries,131000104
112,Color Mode: Standard,Scribbled Boundaries,131000104
113,Shape Mode: Melita,Scribbled Boundaries,131000104
114,Aspect Ratio: Standard,Scribbled Boundaries,131000104
115,Thickness Mode: Standard,Scribbled Boundaries,131000104
116,All Scribbled Boundaries,Scribbled Boundaries,131000105
117,Color Mode: Hockney,Scribbled Boundaries,131000105
118,Shape Mode: Kelly,Scribbled Boundaries,131000105
119,Aspect Ratio: Standard,Scribbled Boundaries,131000105
120,Thickness Mode: Standard,Scribbled Boundaries,131000105
121,All Scribbled Boundaries,Scribbled Boundaries,131000106
122,Color Mode: Standard,Scribbled Boundaries,131000106
123,Shape Mode: Mark,Scribbled Boundaries,131000106
124,Aspect Ratio: Standard,Scribbled Boundaries,131000106
125,Thickness Mode: Agnes,Scribbled Boundaries,131000106
126,All Scribbled Boundaries,Scribbled Boundaries,131000107
127,Color Mode: Kline,Scribbled Boundaries,131000107
128,Shape Mode: Melita,Scribbled Boundaries,131000107
129,Aspect Ratio: Standard,Scribbled Boundaries,131000107
130,Thickness Mode: Malevich,Scribbled Boundaries,131000107
131,All Scribbled Boundaries,Scribbled Boundaries,131000108
132,Color Mode: Standard,Scribbled Boundaries,131000108
133,Shape Mode: Melita,Scribbled Boundaries,131000108
134,Aspect Ratio: Randomized,Scribbled Boundaries,131000108
135,Thickness Mode: Malevich,Scribbled Boundaries,131000108
136,All Scribbled Boundaries,Scribbled Boundaries,131000109
137,Color Mode: Standard,Scribbled Boundaries,131000109
138,Shape Mode: Bridget,Scribbled Boundaries,131000109
139,Aspect Ratio: Standard,Scribbled Boundaries,131000109
140,Thickness Mode: Standard,Scribbled Boundaries,131000109
141,All Scribbled Boundaries,Scribbled Boundaries,131000111
142,Color Mode: Standard,Scribbled Boundaries,131000111
143,Shape Mode: Bridget,Scribbled Boundaries,131000111
144,Aspect Ratio: Standard,Scribbled Boundaries,131000111
145,Thickness Mode: Standard,Scribbled Boundaries,131000111
146,All Scribbled Boundaries,Scribbled Boundaries,131000112
147,Color Mode: Hockney,Scribbled Boundaries,131000112
148,Shape Mode: Kelly,Scribbled Boundaries,131000112
149,Aspect Ratio: Standard,Scribbled Boundaries,131000112
150,Thickness Mode: Standard,Scribbled Boundaries,131000112
151,All Scribbled Boundaries,Scribbled Boundaries,131000113
152,Color Mode: Standard,Scribbled Boundaries,131000113
153,Shape Mode: Melita,Scribbled Boundaries,131000113
154,Aspect Ratio: Standard,Scribbled Boundaries,131000113
155,Thickness Mode: Standard,Scribbled Boundaries,131000113
156,All Scribbled Boundaries,Scribbled Boundaries,131000114
157,Color Mode: Standard,Scribbled Boundaries,131000114
158,Shape Mode: Bridget,Scribbled Boundaries,131000114
159,Aspect Ratio: Standard,Scribbled Boundaries,131000114
160,Thickness Mode: Standard,Scribbled Boundaries,131000114
161,All Scribbled Boundaries,Scribbled Boundaries,131000115
162,Color Mode: Standard,Scribbled Boundaries,131000115
163,Shape Mode: Arp,Scribbled Boundaries,131000115
