,value,trait_type,collectionTokenId
0,All Stratas,Strata,276000573
1,View: Cross section 2,Strata,276000573
2,Density: Very high,Strata,276000573
3,No fill: No,Strata,276000573
4,Palette: Basalt,Strata,276000573
5,Surface: Even,Strata,276000573
6,Outlined: No,Strata,276000573
7,Direction: Right to left,Strata,276000573
8,Symmetric: No,Strata,276000573
9,Color change: Blend,Strata,276000573
10,Coloring strategy: Group,Strata,276000573
11,Overhanging cliff: Yes,Strata,276000573
12,Palette composition: Derived (single),Strata,276000573
13,All Stratas,Strata,276000574
14,View: Mountainside,Strata,276000574
15,Density: High,Strata,276000574
16,No fill: No,Strata,276000574
17,Palette: Limestone,Strata,276000574
18,Surface: Even,Strata,276000574
19,Outlined: No,Strata,276000574
20,Direction: Right to left,Strata,276000574
21,Symmetric: No,Strata,276000574
22,Color change: Blend,Strata,276000574
23,Coloring strategy: Group,Strata,276000574
24,Overhanging cliff: No,Strata,276000574
25,Palette composition: Derived (duo),Strata,276000574
26,All Stratas,Strata,276000575
27,View: Mountainside,Strata,276000575
28,Density: High,Strata,276000575
29,No fill: No,Strata,276000575
30,Palette: Lava,Strata,276000575
31,Surface: Standard,Strata,276000575
32,Outlined: No,Strata,276000575
33,Direction: Left to right,Strata,276000575
34,Symmetric: No,Strata,276000575
35,Color change: Blend,Strata,276000575
36,Coloring strategy: Group,Strata,276000575
37,Overhanging cliff: No,Strata,276000575
38,Palette composition: Derived (single),Strata,276000575
39,All Stratas,Strata,276000576
40,View: Cross section,Strata,276000576
41,Density: Low,Strata,276000576
42,No fill: No,Strata,276000576
43,Palette: Ruby,Strata,276000576
44,Surface: Standard,Strata,276000576
45,Outlined: No,Strata,276000576
46,Direction: Left to right,Strata,276000576
47,Symmetric: No,Strata,276000576
48,Color change: Blend,Strata,276000576
49,Coloring strategy: Group,Strata,276000576
50,Overhanging cliff: No,Strata,276000576
51,Palette composition: Full,Strata,276000576
52,All Stratas,Strata,276000577
53,View: Cross section 2,Strata,276000577
54,Density: Low,Strata,276000577
55,No fill: No,Strata,276000577
56,Palette: Magma,Strata,276000577
57,Surface: Standard,Strata,276000577
58,Outlined: No,Strata,276000577
59,Direction: Right to left,Strata,276000577
60,Symmetric: No,Strata,276000577
61,Color change: Discrete,Strata,276000577
62,Coloring strategy: Sequential,Strata,276000577
63,Overhanging cliff: No,Strata,276000577
64,Palette composition: Full,Strata,276000577
