,value,trait_type,collectionTokenId
0,All Star Flowers,Star Flower,52000970
1,Family: terterni,Star Flower,52000970
2,Breed Type: clone,Star Flower,52000970
3,Atomic Structure: spatio,Star Flower,52000970
4,All Star Flowers,Star Flower,52000971
5,Family: septaem,Star Flower,52000971
6,Breed Type: lab,Star Flower,52000971
7,Atomic Structure: virga,Star Flower,52000971
8,All Star Flowers,Star Flower,52000972
9,Family: septaem,Star Flower,52000972
10,Breed Type: incubated,Star Flower,52000972
11,Atomic Structure: tranto,Star Flower,52000972
12,All Star Flowers,Star Flower,52000973
13,Family: terterni,Star Flower,52000973
14,Breed Type: wild,Star Flower,52000973
15,Atomic Structure: demeno,Star Flower,52000973
16,All Star Flowers,Star Flower,52000974
17,Family: terterni,Star Flower,52000974
18,Breed Type: incubated,Star Flower,52000974
19,Atomic Structure: solo,Star Flower,52000974
20,All Star Flowers,Star Flower,52000975
21,Family: lutum,Star Flower,52000975
22,Breed Type: hybrid,Star Flower,52000975
23,Atomic Structure: solo,Star Flower,52000975
24,All Star Flowers,Star Flower,52000976
25,Family: terterni,Star Flower,52000976
26,Breed Type: incubated,Star Flower,52000976
27,Atomic Structure: demeno,Star Flower,52000976
28,All Star Flowers,Star Flower,52000977
29,Family: prosperatur,Star Flower,52000977
30,Breed Type: incubated,Star Flower,52000977
31,Atomic Structure: solo,Star Flower,52000977
32,All Star Flowers,Star Flower,52000978
33,Family: lutum,Star Flower,52000978
34,Breed Type: clone,Star Flower,52000978
35,Atomic Structure: yoon,Star Flower,52000978
36,All Star Flowers,Star Flower,52000979
37,Family: lutum,Star Flower,52000979
38,Breed Type: incubated,Star Flower,52000979
39,Atomic Structure: solo,Star Flower,52000979
40,All Star Flowers,Star Flower,52000980
41,Family: prosperatur,Star Flower,52000980
42,Breed Type: hybrid,Star Flower,52000980
43,Atomic Structure: verita,Star Flower,52000980
44,All Star Flowers,Star Flower,52000981
45,Family: prosperatur,Star Flower,52000981
46,Breed Type: clone,Star Flower,52000981
47,Atomic Structure: dyo,Star Flower,52000981
48,All Star Flowers,Star Flower,52000982
49,Family: lutum,Star Flower,52000982
50,Breed Type: clone,Star Flower,52000982
51,Atomic Structure: dyo,Star Flower,52000982
52,All Star Flowers,Star Flower,52000983
53,Family: terterni,Star Flower,52000983
54,Breed Type: hybrid,Star Flower,52000983
55,Atomic Structure: solo,Star Flower,52000983
56,All Star Flowers,Star Flower,52000984
57,Family: prosperatur,Star Flower,52000984
58,Breed Type: lab,Star Flower,52000984
59,Atomic Structure: coalu,Star Flower,52000984
60,All Star Flowers,Star Flower,52000985
61,Family: terterni,Star Flower,52000985
62,Breed Type: partial pure,Star Flower,52000985
63,Atomic Structure: profectu,Star Flower,52000985
64,All Star Flowers,Star Flower,52000986
65,Family: prosperatur,Star Flower,52000986
66,Breed Type: hybrid,Star Flower,52000986
67,Atomic Structure: demeno,Star Flower,52000986
68,All Star Flowers,Star Flower,52000987
69,Family: terterni,Star Flower,52000987
70,Breed Type: incubated,Star Flower,52000987
71,Atomic Structure: treo,Star Flower,52000987
72,All Star Flowers,Star Flower,52000988
73,Family: terterni,Star Flower,52000988
74,Breed Type: incubated,Star Flower,52000988
75,Atomic Structure: dyo,Star Flower,52000988
76,All Star Flowers,Star Flower,52000989
77,Family: centum,Star Flower,52000989
78,Breed Type: clone,Star Flower,52000989
79,Atomic Structure: dyo,Star Flower,52000989
80,All Star Flowers,Star Flower,52000990
81,Family: septaem,Star Flower,52000990
82,Breed Type: lab,Star Flower,52000990
83,Atomic Structure: bendes,Star Flower,52000990
84,All Star Flowers,Star Flower,52000991
85,Family: terterni,Star Flower,52000991
86,Breed Type: clone,Star Flower,52000991
87,Atomic Structure: demeno,Star Flower,52000991
88,All Star Flowers,Star Flower,52000992
89,Family: centum,Star Flower,52000992
90,Breed Type: lab,Star Flower,52000992
91,Atomic Structure: demeno,Star Flower,52000992
92,,,52000993
93,All Star Flowers,Star Flower,52000994
94,Family: septaem,Star Flower,52000994
95,Breed Type: clone,Star Flower,52000994
96,Atomic Structure: tranto,Star Flower,52000994
97,,,52000995
98,,,52000996
99,All Star Flowers,Star Flower,52000997
100,Family: septaem,Star Flower,52000997
101,Breed Type: clone,Star Flower,52000997
102,Atomic Structure: dyo,Star Flower,52000997
103,All Star Flowers,Star Flower,52000998
104,Family: caeli,Star Flower,52000998
105,Breed Type: clone,Star Flower,52000998
