,value,trait_type,collectionTokenId
0,All celestial cyclones,celestial cyclones,113000067
1,chord: m7,celestial cyclones,113000067
2,layers: 3,celestial cyclones,113000067
3,spiral: false,celestial cyclones,113000067
4,density: high,celestial cyclones,113000067
5,palette: reef,celestial cyclones,113000067
6,core size: large,celestial cyclones,113000067
7,core type: sphere,celestial cyclones,113000067
8,wireframe: false,celestial cyclones,113000067
9,top ornament: false,celestial cyclones,113000067
10,rotating core: true,celestial cyclones,113000067
11,rotation speed: medium,celestial cyclones,113000067
12,bottom ornament: true,celestial cyclones,113000067
13,radius distortion: low,celestial cyclones,113000067
14,color distribution: random,celestial cyclones,113000067
15,All celestial cyclones,celestial cyclones,113000068
16,chord: maj7,celestial cyclones,113000068
17,layers: 2,celestial cyclones,113000068
18,spiral: false,celestial cyclones,113000068
19,density: low,celestial cyclones,113000068
20,palette: vaporwave,celestial cyclones,113000068
21,core size: medium,celestial cyclones,113000068
22,core type: sphere,celestial cyclones,113000068
23,wireframe: false,celestial cyclones,113000068
24,top ornament: false,celestial cyclones,113000068
25,rotating core: false,celestial cyclones,113000068
26,rotation speed: fast,celestial cyclones,113000068
27,bottom ornament: true,celestial cyclones,113000068
28,radius distortion: low,celestial cyclones,113000068
29,color distribution: asc,celestial cyclones,113000068
30,All celestial cyclones,celestial cyclones,113000069
31,chord: whole,celestial cyclones,113000069
32,layers: 5,celestial cyclones,113000069
33,spiral: false,celestial cyclones,113000069
34,density: low,celestial cyclones,113000069
35,palette: forest,celestial cyclones,113000069
36,core size: small,celestial cyclones,113000069
37,core type: sphere,celestial cyclones,113000069
38,wireframe: false,celestial cyclones,113000069
39,top ornament: false,celestial cyclones,113000069
40,rotating core: false,celestial cyclones,113000069
41,rotation speed: medium,celestial cyclones,113000069
42,bottom ornament: false,celestial cyclones,113000069
43,radius distortion: low,celestial cyclones,113000069
44,color distribution: random,celestial cyclones,113000069
45,All celestial cyclones,celestial cyclones,113000070
46,chord: m7,celestial cyclones,113000070
47,layers: 5,celestial cyclones,113000070
48,spiral: false,celestial cyclones,113000070
49,density: medium,celestial cyclones,113000070
50,palette: vaporwave,celestial cyclones,113000070
51,core size: small,celestial cyclones,113000070
52,core type: diamond,celestial cyclones,113000070
53,wireframe: false,celestial cyclones,113000070
54,top ornament: false,celestial cyclones,113000070
55,rotating core: false,celestial cyclones,113000070
56,rotation speed: slow,celestial cyclones,113000070
57,bottom ornament: true,celestial cyclones,113000070
58,radius distortion: medium,celestial cyclones,113000070
59,color distribution: random,celestial cyclones,113000070
60,All celestial cyclones,celestial cyclones,113000071
61,chord: m7,celestial cyclones,113000071
62,layers: 2,celestial cyclones,113000071
63,spiral: true,celestial cyclones,113000071
64,density: high,celestial cyclones,113000071
65,palette: lava,celestial cyclones,113000071
66,core size: small,celestial cyclones,113000071
67,core type: sphere,celestial cyclones,113000071
68,wireframe: false,celestial cyclones,113000071
69,top ornament: true,celestial cyclones,113000071
70,rotating core: false,celestial cyclones,113000071
71,rotation speed: faster,celestial cyclones,113000071
72,bottom ornament: false,celestial cyclones,113000071
73,radius distortion: high,celestial cyclones,113000071
74,color distribution: random,celestial cyclones,113000071
75,All celestial cyclones,celestial cyclones,113000072
76,chord: 7,celestial cyclones,113000072
77,layers: 5,celestial cyclones,113000072
78,spiral: false,celestial cyclones,113000072
79,density: low,celestial cyclones,113000072
80,palette: blood moon,celestial cyclones,113000072
81,core size: small,celestial cyclones,113000072
82,core type: sphere,celestial cyclones,113000072
83,wireframe: false,celestial cyclones,113000072
84,top ornament: false,celestial cyclones,113000072
85,rotating core: false,celestial cyclones,113000072
86,rotation speed: slow,celestial cyclones,113000072
87,bottom ornament: true,celestial cyclones,113000072
88,radius distortion: low,celestial cyclones,113000072
89,color distribution: random,celestial cyclones,113000072
90,All celestial cyclones,celestial cyclones,113000073
91,chord: add9,celestial cyclones,113000073
92,layers: 3,celestial cyclones,113000073
93,spiral: true,celestial cyclones,113000073
94,density: low,celestial cyclones,113000073
95,palette: lava,celestial cyclones,113000073
96,core size: small,celestial cyclones,113000073
97,core type: diamond,celestial cyclones,113000073
98,wireframe: true,celestial cyclones,113000073
99,top ornament: false,celestial cyclones,113000073
100,rotating core: false,celestial cyclones,113000073
101,rotation speed: medium,celestial cyclones,113000073
102,bottom ornament: true,celestial cyclones,113000073
103,radius distortion: medium,celestial cyclones,113000073
104,color distribution: random,celestial cyclones,113000073
105,All celestial cyclones,celestial cyclones,113000074
106,chord: dim,celestial cyclones,113000074
107,layers: 3,celestial cyclones,113000074
108,spiral: false,celestial cyclones,113000074
109,density: low,celestial cyclones,113000074
110,palette: vaporwave,celestial cyclones,113000074
111,core size: large,celestial cyclones,113000074
112,core type: sphere,celestial cyclones,113000074
113,wireframe: false,celestial cyclones,113000074
114,top ornament: false,celestial cyclones,113000074
115,rotating core: false,celestial cyclones,113000074
116,rotation speed: medium,celestial cyclones,113000074
117,bottom ornament: false,celestial cyclones,113000074
118,radius distortion: high,celestial cyclones,113000074
119,color distribution: random,celestial cyclones,113000074
120,All celestial cyclones,celestial cyclones,113000075
121,chord: 7,celestial cyclones,113000075
122,layers: 5,celestial cyclones,113000075
123,spiral: false,celestial cyclones,113000075
124,density: medium,celestial cyclones,113000075
125,palette: vaporwave,celestial cyclones,113000075
126,core size: huge,celestial cyclones,113000075
127,core type: sphere,celestial cyclones,113000075
128,wireframe: false,celestial cyclones,113000075
129,top ornament: false,celestial cyclones,113000075
130,rotating core: false,celestial cyclones,113000075
131,rotation speed: faster,celestial cyclones,113000075
132,bottom ornament: false,celestial cyclones,113000075
133,radius distortion: high,celestial cyclones,113000075
134,color distribution: random,celestial cyclones,113000075
135,All celestial cyclones,celestial cyclones,113000076
136,chord: maj7,celestial cyclones,113000076
137,layers: 3,celestial cyclones,113000076
138,spiral: true,celestial cyclones,113000076
139,density: medium,celestial cyclones,113000076
140,palette: lava,celestial cyclones,113000076
141,core size: medium,celestial cyclones,113000076
142,core type: sphere,celestial cyclones,113000076
143,wireframe: false,celestial cyclones,113000076
144,top ornament: false,celestial cyclones,113000076
145,rotating core: false,celestial cyclones,113000076
146,rotation speed: faster,celestial cyclones,113000076
147,bottom ornament: false,celestial cyclones,113000076
148,radius distortion: high,celestial cyclones,113000076
149,color distribution: random,celestial cyclones,113000076
150,All celestial cyclones,celestial cyclones,113000077
151,chord: m7,celestial cyclones,113000077
152,layers: 4,celestial cyclones,113000077
153,spiral: false,celestial cyclones,113000077
154,density: low,celestial cyclones,113000077
155,palette: lava,celestial cyclones,113000077
156,core size: small,celestial cyclones,113000077
157,core type: sphere,celestial cyclones,113000077
158,wireframe: false,celestial cyclones,113000077
159,top ornament: false,celestial cyclones,113000077
160,rotating core: false,celestial cyclones,113000077
161,rotation speed: medium,celestial cyclones,113000077
162,bottom ornament: false,celestial cyclones,113000077
163,radius distortion: medium,celestial cyclones,113000077
164,color distribution: asc,celestial cyclones,113000077
165,All celestial cyclones,celestial cyclones,113000078
166,chord: dim,celestial cyclones,113000078
167,layers: 3,celestial cyclones,113000078
168,spiral: true,celestial cyclones,113000078
169,density: low,celestial cyclones,113000078
170,palette: lava,celestial cyclones,113000078
171,core size: huge,celestial cyclones,113000078
172,core type: diamond,celestial cyclones,113000078
173,wireframe: false,celestial cyclones,113000078
174,top ornament: false,celestial cyclones,113000078
175,rotating core: false,celestial cyclones,113000078
176,rotation speed: faster,celestial cyclones,113000078
177,bottom ornament: false,celestial cyclones,113000078
178,radius distortion: high,celestial cyclones,113000078
179,color distribution: random,celestial cyclones,113000078
180,All celestial cyclones,celestial cyclones,113000079
