,value,trait_type,collectionTokenId
0,All Para Bellum s,Para Bellum ,261000376
1,Punch: False,Para Bellum ,261000376
2,Layout: Big Word,Para Bellum ,261000376
3,Rotate: False,Para Bellum ,261000376
4,Palette: Ramzor,Para Bellum ,261000376
5,Stagger: False,Para Bellum ,261000376
6,Texture: True,Para Bellum ,261000376
7,Draw Mode: Grow,Para Bellum ,261000376
8,Composition: Whole Canvas,Para Bellum ,261000376
9,All Para Bellum s,Para Bellum ,261000377
10,Punch: False,Para Bellum ,261000377
11,Layout: Single,Para Bellum ,261000377
12,Rotate: False,Para Bellum ,261000377
13,Palette: Violet Black Warm,Para Bellum ,261000377
14,Stagger: False,Para Bellum ,261000377
15,Texture: False,Para Bellum ,261000377
16,Draw Mode: Grow,Para Bellum ,261000377
17,Composition: Whole Canvas,Para Bellum ,261000377
18,All Para Bellum s,Para Bellum ,261000378
19,Punch: True,Para Bellum ,261000378
20,Layout: Overlap,Para Bellum ,261000378
21,Rotate: False,Para Bellum ,261000378
22,Palette: Avenue A,Para Bellum ,261000378
23,Stagger: False,Para Bellum ,261000378
24,Texture: True,Para Bellum ,261000378
25,Draw Mode: Split,Para Bellum ,261000378
26,Composition: Whole Canvas,Para Bellum ,261000378
27,All Para Bellum s,Para Bellum ,261000379
28,Punch: False,Para Bellum ,261000379
29,Layout: Polaroid,Para Bellum ,261000379
30,Rotate: False,Para Bellum ,261000379
31,Palette: Jean-Michel,Para Bellum ,261000379
32,Stagger: False,Para Bellum ,261000379
33,Texture: True,Para Bellum ,261000379
34,Draw Mode: Grow,Para Bellum ,261000379
35,Composition: Inverted Polaroid,Para Bellum ,261000379
36,All Para Bellum s,Para Bellum ,261000380
37,Punch: False,Para Bellum ,261000380
38,Layout: Paragraph,Para Bellum ,261000380
39,Rotate: False,Para Bellum ,261000380
40,Palette: Ochre Red,Para Bellum ,261000380
41,Stagger: False,Para Bellum ,261000380
42,Texture: True,Para Bellum ,261000380
43,Draw Mode: Grow,Para Bellum ,261000380
44,Composition: Whole Canvas,Para Bellum ,261000380
45,All Para Bellum s,Para Bellum ,261000381
46,Punch: False,Para Bellum ,261000381
47,Layout: Fadelines,Para Bellum ,261000381
48,Rotate: False,Para Bellum ,261000381
49,Palette: U-6,Para Bellum ,261000381
50,Stagger: True,Para Bellum ,261000381
51,Texture: False,Para Bellum ,261000381
52,Draw Mode: Split,Para Bellum ,261000381
53,Composition: Whole Canvas,Para Bellum ,261000381
54,All Para Bellum s,Para Bellum ,261000382
55,Punch: False,Para Bellum ,261000382
56,Layout: Polaroid,Para Bellum ,261000382
57,Rotate: False,Para Bellum ,261000382
58,Palette: Ramzor,Para Bellum ,261000382
59,Stagger: False,Para Bellum ,261000382
60,Texture: False,Para Bellum ,261000382
61,Draw Mode: Grow,Para Bellum ,261000382
62,Composition: Polaroid,Para Bellum ,261000382
63,All Para Bellum s,Para Bellum ,261000383
64,Punch: False,Para Bellum ,261000383
65,Layout: Overlap,Para Bellum ,261000383
66,Rotate: False,Para Bellum ,261000383
67,Palette: #22,Para Bellum ,261000383
68,Stagger: False,Para Bellum ,261000383
69,Texture: True,Para Bellum ,261000383
70,Draw Mode: Grow,Para Bellum ,261000383
71,Composition: Whole Canvas,Para Bellum ,261000383
72,All Para Bellum s,Para Bellum ,261000384
73,Punch: False,Para Bellum ,261000384
74,Layout: Wordlines,Para Bellum ,261000384
75,Rotate: False,Para Bellum ,261000384
76,Palette: Apples,Para Bellum ,261000384
77,Stagger: True,Para Bellum ,261000384
78,Texture: True,Para Bellum ,261000384
79,Draw Mode: Grow,Para Bellum ,261000384
80,Composition: Whole Canvas,Para Bellum ,261000384
81,All Para Bellum s,Para Bellum ,261000385
82,Punch: False,Para Bellum ,261000385
83,Layout: Polaroid,Para Bellum ,261000385
84,Rotate: False,Para Bellum ,261000385
85,Palette: Red White Brown,Para Bellum ,261000385
86,Stagger: False,Para Bellum ,261000385
87,Texture: True,Para Bellum ,261000385
88,Draw Mode: Grow,Para Bellum ,261000385
89,Composition: Inverted Polaroid,Para Bellum ,261000385
90,All Para Bellum s,Para Bellum ,261000386
91,Punch: False,Para Bellum ,261000386
92,Layout: Fadelines,Para Bellum ,261000386
93,Rotate: True,Para Bellum ,261000386
94,Palette: Boy and dog,Para Bellum ,261000386
95,Stagger: True,Para Bellum ,261000386
96,Texture: True,Para Bellum ,261000386
97,Draw Mode: Grow,Para Bellum ,261000386
98,Composition: Whole Canvas,Para Bellum ,261000386
99,All Para Bellum s,Para Bellum ,261000387
100,Punch: False,Para Bellum ,261000387
101,Layout: Big Word,Para Bellum ,261000387
102,Rotate: False,Para Bellum ,261000387
103,Palette: Yellow Red Blue,Para Bellum ,261000387
104,Stagger: False,Para Bellum ,261000387
105,Texture: True,Para Bellum ,261000387
106,Draw Mode: Grow,Para Bellum ,261000387
107,Composition: Whole Canvas,Para Bellum ,261000387
108,All Para Bellum s,Para Bellum ,261000388
109,Punch: False,Para Bellum ,261000388
110,Layout: Polaroid,Para Bellum ,261000388
111,Rotate: False,Para Bellum ,261000388
112,Palette: Roy,Para Bellum ,261000388
113,Stagger: False,Para Bellum ,261000388
114,Texture: True,Para Bellum ,261000388
115,Draw Mode: Grow,Para Bellum ,261000388
116,Composition: Inverted Polaroid,Para Bellum ,261000388
117,All Para Bellum s,Para Bellum ,261000389
118,Punch: False,Para Bellum ,261000389
119,Layout: Single,Para Bellum ,261000389
120,Rotate: False,Para Bellum ,261000389
121,Palette: Blue Flames,Para Bellum ,261000389
122,Stagger: False,Para Bellum ,261000389
123,Texture: False,Para Bellum ,261000389
124,Draw Mode: Grow,Para Bellum ,261000389
125,Composition: Whole Canvas,Para Bellum ,261000389
126,All Para Bellum s,Para Bellum ,261000390
127,Punch: False,Para Bellum ,261000390
128,Layout: Polaroid,Para Bellum ,261000390
129,Rotate: False,Para Bellum ,261000390
130,Palette: #9,Para Bellum ,261000390
131,Stagger: False,Para Bellum ,261000390
132,Texture: True,Para Bellum ,261000390
133,Draw Mode: Grow,Para Bellum ,261000390
134,Composition: Polaroid,Para Bellum ,261000390
135,All Para Bellum s,Para Bellum ,261000391
136,Punch: False,Para Bellum ,261000391
137,Layout: Single,Para Bellum ,261000391
138,Rotate: False,Para Bellum ,261000391
139,Palette: Italian,Para Bellum ,261000391
140,Stagger: False,Para Bellum ,261000391
141,Texture: False,Para Bellum ,261000391
142,Draw Mode: Grow,Para Bellum ,261000391
143,Composition: Whole Canvas,Para Bellum ,261000391
144,All Para Bellum s,Para Bellum ,261000392
145,Punch: True,Para Bellum ,261000392
146,Layout: Big Word,Para Bellum ,261000392
147,Rotate: False,Para Bellum ,261000392
148,Palette: Cold Blaze,Para Bellum ,261000392
149,Stagger: False,Para Bellum ,261000392
150,Texture: True,Para Bellum ,261000392
151,Draw Mode: Split,Para Bellum ,261000392
152,Composition: Whole Canvas,Para Bellum ,261000392
153,All Para Bellum s,Para Bellum ,261000393
154,Punch: False,Para Bellum ,261000393
155,Layout: Wordlines,Para Bellum ,261000393
156,Rotate: False,Para Bellum ,261000393
157,Palette: Avenue A,Para Bellum ,261000393
158,Stagger: False,Para Bellum ,261000393
159,Texture: False,Para Bellum ,261000393
160,Draw Mode: Split,Para Bellum ,261000393
161,Composition: Whole Canvas,Para Bellum ,261000393
162,All Para Bellum s,Para Bellum ,261000394
