,hash,value,gasPrice,gas
0,0x45438badf3855a6daedf86b5d47ab660520c15de8f6cd96dc342425b9709f681,0.0,1.9e-08,1.180017e-12
1,0x38d64ae2068233a80a9e0bc056533fe9a87a07a4acd82cb79b10a98f0e41ad87,0.6,4.903358115e-08,3.0241e-13
2,0xd62d46bf3e855000cabdc81048b94cd9a71c0cace1454afe5851af5d70e58fc1,0.1,6e-08,5.34919e-13
3,0x657b2127ac7a56fb490678f11b76a6e2b5c65210413812d4d7bc20de95fafdf2,0.1,6e-08,5.63622e-13
4,0x8f80b1a90d70f9197d18b8d57764e627a79bf53991cbf75f5d75302079c5bdf2,0.095,2.5e-08,2.41467e-13
5,0x0d13aa70dfe81fa1920939840eeffa363e98d01076db62b9e605c059bdb8c4a3,0.1,6e-08,5.41831e-13
6,0x456153578a5f2c667716859d78df68133c5d86e11da2097bc03bd1d03f685957,0.1,6e-08,5.58186e-13
7,0x3bd15156322e89c8b2bd91ee6cca91a868b46ace22c3ce6622ee0f8d7cd7f6fd,0.3,2.7e-08,2.52209e-13
8,0x7bee48382c09fff9b88b054d2a102023f1eefff1360fefbb13c4b006f1a1c37c,0.6,6.2135525466e-08,3.4725e-13
9,0x73ea89fb87109665fc6803486b4789ce197deb08b902c679ccdef9d7e4cd9398,0.1,6e-08,5.34919e-13
10,0x27a4b8d42b04f4266cdbb5b0abb195092c38e8a6530249df976afa909f260878,0.119,2.64e-08,2.24439e-13
11,0x0298a7b82866aa6d6f3c4f978b51ab7d76956cd322e903cccf69d91abf953067,0.1,6e-08,5.79976e-13
12,0x7eb62f0797086d8718ec161b53bd0cb7ad647e267f9902769df70225959b0de6,0.0,3.55e-08,1.03327e-13
13,0x419078c2e58b4cb5fe058dc4fedcbcd11e0005ead049b7d663485309ab8dc121,0.3,2.2e-08,2.34938e-13
14,0xf2173adc7ea097d955fc682cdf4ebe9c0c94d96ef72945c50ad6cb216810cd94,0.1,6e-08,5.79976e-13
15,0x13b1a739edd58e9c527cf5f37c8db87564814af1642a7aca86cb71f4f37e5466,0.078,3e-08,2.41431e-13
16,0xe09ed66677c7d9035bebad080b9a8c13c32cf8e7270465de01e24aaab1c71679,0.145,4.9e-08,2.52245e-13
17,0x5b18a8a5950c70c83038fb15734a9ef76c56e1b973fb4c833f6b1ffadae2ac79,0.1,5.9e-08,5.34919e-13
18,0x2d4174f3ba5cce9fda31084358949d2304cd19b62d863d483229765583152a20,0.19,4.5e-08,2.24402e-13
19,0x75c3d572b27ff4f6673c462637fa694a22a54da611f18f515a0e548fec4b159a,0.2592,4.5e-08,2.44309e-13
20,0x9bcdbfe3bde411a5600a4751cddaa3eaaa3abd6a76e2a534eab279d5b4ae43b0,0.1,5.9e-08,5.41831e-13
21,0x9501260de4c7e38da5b93bdd62d00051e43050ef7c9a085f2b046960c9385225,0.12,3.1000001459e-08,2.41419e-13
