,hash,value,gasPrice,gas
0,0x31d85159ebce067b2585fa2dfbeb4597b5ffc7e6ba0efddced1cc96e0a97ced6,0.15,2.31e-07,4.86679e-13
1,0x0040ed47580eb64c22b9611bd7417f60f0074a0b3887ff8fa9e204cad86b6507,0.15,2.31e-07,4.86679e-13
2,0x03d6615aa019ca15997f90b41a72e74501f9f4d9b555efd691623a0dc4c06fd7,0.15,2.3e-07,4.86679e-13
3,0x7d6f109fea68cd4053c80efe77b56c9e3dd0c115898cee219ce60eb02eb79adc,0.15,2.27176165009e-07,4.86679e-13
4,0xefdb0ba982d2e31e588e4334a27c38aad0432e71b779295cc4ec38f85ea5147c,0.15,2.31e-07,4.83424e-13
5,0x2817336da7602558a275ecf9893743d0b391706f5098b00fac212c4d2a60d19e,0.15,2.27176165009e-07,4.86679e-13
6,0xf1b0396eb319c2883dd4662be64783a87e0a3144b8777ba23268166eedfb9578,0.15,2.27176165009e-07,4.86679e-13
7,0x709f88873dd0afbc32bfdc5220ca68f0a7a4d5ff0f455e6446e36b8743feaf23,0.15,1.79e-07,4.83424e-13
8,0x005598a56571a995effd2e3e879ed257b5a038e5f3f216bb4cabe66f59cdaccb,3.0,3.4720945953e-08,3.02317e-13
9,0xf0f9f2e3162029f42b04db057dfdd7a8eb3fc48c696cd2af1a76ef9ceaeb37d7,0.0,1.19733367249e-07,3.59889e-13
10,0x4fb98f5dc26c9c6f5c00589baa4a8d6514c48f8bd2149129da6c9affde08adae,2.865,6.8903053076e-08,3.11868e-13
11,0x2c19f33dc10bbe477af761ff565eec09e58c218773c24e9eed9e9bdbd77e2313,0.15,2.3e-07,4.85052e-13
12,0x5f77b8b7ce4e4c70026e60b4a774c89ee96700e6e66e21a56099bc78ffc59398,0.411,1.38e-07,2.28728e-13
13,0x1ffa1ef9defbf9187e1b7af35f98dad0509796fde9b15d36c6fdd5dc100ec46d,0.15,1.5e-07,4.86679e-13
14,0xd8495e072de2d1d44f4560c2724c4a981821193d451bcc31c4e31f40779ab313,0.15,1.5e-07,4.85052e-13
15,0x00ba7afa5ad6e9fd5cac2426fefc562195d19e56dfee3a763da37ef5afb55145,4.0,6.3e-08,3.02364e-13
16,0xee2da035d00337e4a4777be853c75ad101080987647cdd04b5a9765054af21e8,0.15,1.5e-07,4.83424e-13
17,0x09756215ffc7d10d9267dfff126a2000403dfad85f35bc7fb4e830b3913c7a84,0.7,2.2e-08,2.35095e-13
18,0xfa294772f85c8a38ec1d3f78549608b14fc3fd728ee69102fb527b80d797baa9,0.0,3.7e-08,9.6898e-14
19,0x56b952cb22a4de50c846fc24a3bd5923c52b535d31c3cb7ce5156a70e536c530,0.15,1.5e-07,4.86679e-13
20,0x9fd64fb0de0cf86a8fea9cbccb3ce60c5db583661bca208f8e9a5092793ad76f,1.0,1.7e-08,2.35095e-13
21,0x3094140eb45b07026e2d1c65099fcf4c5f3f25ae95ca3c844cff7ee8344cffde,0.15,2.65e-07,4.85052e-13
22,0x29b4ab203eadd2b3ef2269d1eb652c80d2ca17088932d90d9b14c2f1d50ee1db,0.15,1.95e-07,4.86679e-13
23,0xa80cc12e16f4ae74963c54e0f9eab242148a1ddaed451de094b62f4a87f67f0f,0.15,1.5e-07,4.86679e-13
24,0xb00beff6de0b54710e0a4b26f6351e5ee46f891433d9154127ec6875d7491221,0.65,1.8e-08,2.34865e-13
25,0x5d9804dc3be3374db75c3c47036b9fa6ca0226c9e81efb8742de9e58e07c7cb7,0.0,1.2e-08,8.6227e-14
26,0x9284cd2e14b54b19b2c2637e9a6d4b40d3b86ff125ad3ec1c381ec2844b68384,0.0,4.7643882329e-08,9.6898e-14
27,0x6713e0eff1a2a787e4a39748d4a9f64dd1b17cf61543fbd8795aa6f01934c193,0.15,1.725e-07,4.85052e-13
28,0xf22bad422ad0a3e92e5f4aad9042cbe426dcc8dc0be435ef7f5c7751422befa5,0.15,1.25e-07,4.86679e-13
29,0x4eecab4077734bb532bf99bd3cd9b9a6977302b28941dd37e519aec4d35b3bbf,0.15,1.25e-07,4.85052e-13
30,0x2135f3c2111b1a3806bd87510a647038ab1c3e9b9dc753d80c15cc92db904b9f,0.0,4.8e-08,9.6898e-14
31,0xafa256d014a7922e7d41aa200d8558ee9e6b1c4e160ab92668a973c6b8e95215,0.15,1.25e-07,4.85052e-13
32,0x2664adf5fd5e2f6af2d13d1625d156baad147eda45020be8e1f363a17d1fe301,1.0,1.8e-08,2.35119e-13
33,0xb00d26681a23384df9a20991ce6f39c83f1742eda2624970227e360fb069fa9a,0.15,1.4e-07,4.86679e-13
34,0x7c129b312938d0624f330539f7437cd1a56fcfd8ecc880f3cb4fcf8c72d04b64,0.876790362420373,1.15e-07,2.37099e-13
35,0xc214192bace48ca19e7af344c0a0e41ac2b2fe9e827ef5a05cb7ddd570d3eeaa,0.75,1.66e-07,2.28777e-13
36,0xcea8bfab29c3eebe65e425eb6198067f4bde393adb120c0bead5bda2a4b71a7e,0.0,3.433694782e-08,3.93555e-13
37,0xca51f43bc64eb34ab3aa0114dfe20087d4077ca82b7490398dd028ec9a166782,0.0,5.1e-08,3.43873e-13
38,0xa2062dcce0bbe84626f501d87091f380493bfb2605eba760152549aab39f88bd,0.15,1.85e-07,4.85052e-13
39,0x64a134a51ad1a426a2487651ff8520cee4b6ad48ab13f604ec67998e0ad754a7,0.15,1.331e-07,4.86679e-13
40,0xdbc9d7a828295c396994176e5dffba15da574a57f9670ac76ed805fba2e38068,0.15,1.331e-07,4.85052e-13
41,0xe15ced0e890500098c50c3e2c307ba60d9303fd77f416a810599c46a28d644d6,0.333,1.328e-07,2.28752e-13
42,0xcf2e3e2762fa20f2239297785cd9c92d9bdf930c5d496a1fe4133a0f195ab986,0.63,1.4e-08,2.3495e-13
43,0xac408a2aaf1cd232ad7ff4384e888e6cad40d02950538f03908e080425035c1c,0.15,2.33e-07,4.85052e-13
44,0x7d6e90c461697b3a6a0d379b7142eb2f10edf1b7256204c10978106a8d75c582,0.15,1.331e-07,4.86679e-13
45,0x2e7b4eb47f0ac3f04c1b72b9ff13d80198ebca2d3ef941347c189c0022bbf62f,0.7,1.6e-08,2.35192e-13
46,0x3b9485e6c92b96e0ea311c36a88bf90929ca5aea614b7bb64040f2276a195636,0.15,1.331e-07,4.83424e-13
47,0x7d53695a797aa89e35d1bb4dffe462175c37415f7248087aa9f7894a43c922d3,0.15,1.22e-07,4.85052e-13
48,0xd6f13df71aa56a09841d2eb2cfaaf2adaa855f49238ee77728ba6826621ca18b,0.15,2.22e-07,4.86679e-13
49,0x1ee3b2a43521bb21a5de3e80194d5a95a2fd9423a7600adcc1efb373e8a89af5,0.55,1.83e-07,2.2874e-13
50,0x426cc12f3265899b1647a6f14f4086fabc0177766c9905bf745978328e7abbe4,0.15,2.03e-07,4.86679e-13
51,0x348fe0b9ee72c9cb8588906163ed49d9081978aed9db40e492f2ae6079f92987,6.0,1.63e-07,1.59519e-12
52,0x17362a7deb87b9c9062de445d660a590e84c64b64b6c3e30dfa6a8e2d38932e1,0.0,5.8676233114e-08,3.3824e-13
53,0xe1edaaf45b08c4eba19f11c65a9c84a8c25a10223556c2d965e28369ea8d6ed2,0.15,1.81e-07,4.83424e-13
54,0xefdc2858d15f29dfa5cc1fb354580ca08963de3f451f34c032b3a7ca96bc3cec,0.15,1.34e-07,4.85052e-13
55,0xf97f8d6c224b12c216fdf4b6dfe5ce1a97cc8dbcbebfecd7cd410e2e55aec1aa,1.8,5.6708761002e-08,3.20831e-13
56,0x731de94b4f3096680a22c2ef83e3b11debc95d3796f72ff1d136425c92d641fa,0.15,1.81e-07,4.83424e-13
57,0x33a266641c8f93ed8b923ffc4fc190e0c018577357d1c668587ce941a3efed3b,1.0,1.06e-07,2.28789e-13
58,0xa7d4cae7ef06c58fdf55cce324c6970fbbf16fd3ca3156aba4cf283bb06127ba,0.0,5.6e-08,9.6898e-14
59,0x51442cfd82c85a68fdd9d9edede2276a94636e9041c9f7916094f31150a8854d,0.15,1.81e-07,4.83424e-13
