,hash,value,gasPrice,gas
0,0x7af74e5f5a044e839bc69d752e1557fb850f607792b067e86b0efd5698026d61,0.15,2.1e-07,4.86679e-13
1,0x929e2cf638049121284273b99afc334a9fb36d1acc8254709f44a96692d11cfc,0.15,1.88e-07,4.85052e-13
2,0xa10a254bddd67823ebb12fc2da0aaf6b6f656e455523ae3c88eeba1df1aecf59,0.15,1.8e-07,4e-13
3,0xd388a4bbcfd2bf07cb763be667a0f5620ae157a9ef87357d50b83347421563f0,0.15,1.8e-07,4e-13
4,0xf41752501898aa67e8818342036e5dec9cb58cf2b65800245795aec9b362cff5,0.15,1.27e-07,4.85052e-13
5,0x012c82f4e001e64a449bb5889784bcdb9d6a1771918cee03a79d74fb21293196,0.15,1.27e-07,5.01508e-13
6,0xe8b559b0f3171bbf81405d93a9c4343420c1cb696cec1e2bc156650be28238de,0.5,1.15e-07,2.31157e-13
7,0x9f4bb7ab88282ffcfb3b3a504817db69ca300e7e12057b39468bba7f2c15f94a,5.0,2.7e-08,2.35144e-13
8,0x3b0d84b374dc5bb13a23adf5b4c6ce09e8dd5ddbb1c0d80de90a131aac27e3ea,0.15,1.27e-07,4.85052e-13
9,0x8b237d9ecb34b0ba8ca8291be337da8d2ac438529b31a164e74f63b0366cfb36,0.15,1.27e-07,4.83424e-13
10,0xc6959d538cf0debaade62f74e92055e6c4f149cf702643e565800a89e008939e,0.78,1e-07,2.15781e-13
11,0xfb0057483804972f0d4f8abd03ffadfa241ae82cfc7d78add3b123a2dda07c41,0.0,3.1512556739e-08,1.31086e-13
12,0x8a33c488998607ce7bed83d99195946ef0ac4ca3e4cb257d5e39461014fbf7dd,0.15,1.27e-07,4.85052e-13
13,0x4e40f94a1e7581e2a7bbc598ec823256f17c7b45f2ba910b166449feafc2770e,0.0,1.05e-07,9.1115e-14
14,0xf43352c4183a0d43d1a10e7876b872018b97e49e6f25e4c2d43fccd8320645e9,0.15,1.27e-07,4.83424e-13
15,0x3ca1b1a0fbc213f6a80ebe907c850800ac1043bee9d3ecec45bf7a77b6536c7b,0.48,1.53e-07,2.2874e-13
16,0xe30bdee7a387648ea98c6de9a67d8486404ad37c423ad8d308d857b6873ec0a0,0.749,4.7e-08,2.34913e-13
17,0x5da36f5f3cd109c7e4b928b934ff3126530483056c4277d30698bc034d90e9b7,0.15,2.22e-07,4.83424e-13
18,0x7510e63892a985c414fd88ab42338149bb9ca974f1a40701c9eae1fa8129d26c,0.28,1.06e-07,2.28764e-13
19,0xb0dc12e08410e9a799b2fd61f8946018b8c9a1af17a1e41aa9d10b30fab5dee8,2.0,1.59000001561e-07,2.43878e-13
20,0x243e5efbeb8c38852726d010a56cb9d8be0a72827a5021bf63428139ef7e181c,0.15,2.201e-07,4.86679e-13
21,0xe93af25afa30118d3108dbeed812fb2610fca0badd8d2ff78ec740835bcc7192,0.99,1.54e-07,2.28764e-13
22,0xd7e5898512fabaef488497a643e9d5621a720ef9e51aedac67ccf26aeb790124,0.39,1.96e-07,2.28817e-13
23,0xcad8ef0170b5e570ddc46658e949825310c2bed37d8f574dedf524e237c80342,4.7,2.5e-08,2.34925e-13
24,0xa8875d95d5dc8c2bd03a8ab59fea78518ddabbddb012ff1b2d480a40c90a6c83,0.15,2.2e-07,4.85052e-13
25,0xcedbdcfcb25673b10ec648f37b47b367e054b27332b52d054f2f9b7648288fa5,0.65,1.22e-07,2.24522e-13
26,0xa236bdab67cfdc09ddbd46deb5b9fe26958ec7c79a0510c4c4af1389734fa5f6,0.0,1.22e-07,9.1115e-14
27,0x7520fa8d94539fff261c81c64384b7990df4bb13b827b5b36d92f8825318b01d,0.15,2.1e-07,4.86679e-13
28,0x57ec041f24b6564fd298c5ce146ae16d39f1c62a5d78eba93fc9eb60db70ff33,0.15,1.85e-07,4.83424e-13
29,0xc77a28c50c99be33fbf439aeecd5870cf2f418b1f256e38ba4e69a239b4e6df8,0.39,1.19e-07,2.46065e-13
30,0x83bace5271aee9cb10a1f0b31a4a536493be171d86efcd87cce47fe2d13370c9,0.15,1.8e-07,4e-13
31,0xa1735ba1621996a993eaf68b117d527a8cc067131124df4df426929e749f60c8,0.15,1.8e-07,4e-13
32,0x0e1fc282bdd0065776dac3f58203f7eb8a9d202d62f772b19246921801f414e9,0.15,1.8e-07,4e-13
33,0xbec0e21462996e0a6ddb2f9f0b70032f3cf0d7f056bbcf7ca25f3c59cfd0c794,0.15,1.8e-07,4e-13
34,0xa2d644e91bb9e0f1a872851f7b52512ae85ae713e63c15989bb00c87fa4049c4,0.15,1.8e-07,4e-13
35,0x2a0c09ffcbddd430bd42240343aa46d1ee911b7653852391d12daa7eeb1f052a,0.15,1.8e-07,4e-13
36,0x3459aaa6b4158876db32efc2af8a959d810f843ce0aad8f629b2cc2e8decfeed,0.15,1.8e-07,4e-13
37,0xba7ede76a570971b2ff931dcec888fceda602899e7692d5d802040319e60bf04,0.15,1.8e-07,4e-13
38,0x40eda03f2280eac1c5c002c9b6ae980adacce19dc2673877cd8e6bcebcbf29ac,0.15,1.8e-07,4e-13
