,hash,value,gasPrice,gas
0,0xe1192e29a0fd767203f9b7469e66456e9db3219ef062bd85d61e86e793f20421,0.065,4.6e-08,5.58186e-13
1,0x43361b3bdcb91bdfe38b96a5129d2d9222ff59e58240f25fe5121aad939a6842,0.065,4.4e-08,5.58186e-13
2,0x967ffc57b0afcc4911a21bae1a973eb182fa23c7e26c01da99f692ae9dedf3ff,0.065,4.2e-08,5.41831e-13
3,0x9763f0846bc37289434f056149c4f5f85c282aaddc7fa28977f04da8c3d6d542,0.065,4.1e-08,5.79976e-13
4,0x6d37c31f133cd0f5aba5d312e4a8ea5db57743744a141fc72800b0ea1c42360f,0.065,2.9e-08,5.5671e-13
5,0x4fbd21482cd8f31bb64a092e1e8297aff0fe75ccdd955a2b8dc90844f30d6d1a,0.45,8.948593167e-08,3.2464e-13
6,0x8f261dcb450ef8d5c692e866923025aa354e0f90390b05f4d894d0aac5fabab2,0.57,4.8654478544e-08,2.84867e-13
7,0xa881658aca228e280ffcb1cd300811130210c0f104f970e6caf28891bc2e6a56,0.065,3.74e-08,5.58186e-13
8,0xdcfa4c2612a0750121b5d7ad17dfd2bdfe53139ec6425584bd2d58dc0e776052,0.065,3.4e-08,5.58186e-13
9,0x4cbfd82203533b0ee52dfadcb22a04ac44ad893a95a2df06d285c35d8e10cf7a,0.065,3.3e-08,5.58186e-13
10,0x376ff10bb3a63d2f77272f49660006f46cbdb75d9279a81228e0cc3e85b9cf91,0.065,3.1e-08,5.41831e-13
11,0xb134721ead5ac6df98ffdf1b5d4f7cdf528bb4d8d8fa1ccee397a385120cda86,0.065,2.9e-08,5.58186e-13
12,0xc5e8cb4ecc062417658cd33d673d45d6f53c88b8ccf00e42e31dbc21a0d45ac5,0.065,2.9e-08,5.34919e-13
13,0xea47e5cd0f8152e209b44ad26838ba8bea060df07d58125c28a484c3942b678f,0.065,4e-08,5.5671e-13
14,0x80b2c6600aa19afb2b42d4043e7ffc90a7f126d6fa3bd0c69db4f45b6a780218,0.195,5.1205650041e-08,2.41685e-13
15,0x3f9eb976a88935eb73da32fcf523ca43a5e3e9b9a470405eb8b827c3319fdb41,0.065,3.219e-08,5.34919e-13
16,0xb11ac2e58181ee905b406ffc297b0a3949ecca7ec71a554ea98f9d10eec66a5d,0.065,2.9e-08,5.58186e-13
17,0x0fe42b9cdea45b0baa1acbbbdc2eeb903e9323985c92dfe4c0ba8d3e9930c738,0.065,3.19e-08,5.58186e-13
18,0xf6f129322453174368d5cba659570988029d5462dd9fa3a2e89be2113a581239,0.065,3.19e-08,5.58186e-13
19,0xa705ab0afacee7b0cef1f26c7b065a7e76c0259d0df542f2ad3e114619b1f03a,0.065,2.9e-08,5.34919e-13
20,0x003f0f78ed4861c517e3cff3694aab20cbfec5f021e949a897e0e642bb136dec,0.065,2.9e-08,5.34919e-13
21,0xeae36f6fe487588f5430c710f0208c3525426c74402335d4931bf17a9e02f9d2,0.065,3.19e-08,5.41831e-13
22,0xfbf73d7aa467012af52ef455f6cbdc4a8b24714323d66b81cbdaa2f74040ae99,0.065,3.19e-08,5.58186e-13
23,0x0ce8c0276a951d7a34ecf6c64ed9c37713c1796fa7a576629fc7e71f94f4f7b5,0.065,3e-08,5.63622e-13
24,0xeb932f3c4fbf10be3d14d293e28c8f4902e66a842992dafadad2d6bf374cee82,0.0,2.4e-08,1.03327e-13
25,0x82a9fc9533e4bf5a1c4100450fbc9df6b5762b7c2ce86d68ce6824636ee8e1c0,0.065,2.5e-08,5.63622e-13
26,0x658bf693a5b4f24dbf09dfca0811b0a781f7af30b29a7a6f33a5e96dd6e1d1e1,0.065,2.53e-08,5.34919e-13
27,0x5e70703ee71140af99952c58a6e08a19970bda3c2843b15cf830d9c859e53d8a,0.065,2.3e-08,5.5671e-13
28,0xd50d61ed727d20a329d9a1ba2fb90924c6e1501b5bac9ee2a85fea8e1ac0c721,0.065,2.7e-08,5.58186e-13
29,0xa2c2e88753358def75c85a17e8db04d048e5a875fe2ad8103dc843c98ad74c6b,0.25,4.5e-08,2.2416e-13
30,0x159b06ffe88e0ccb3da111020e560c267a48db80080edac3224e07040cff3bb5,0.065,2.6e-08,5.58186e-13
31,0xe7c60219eaa8dad9a3e5f59b00b09bf8ef9aabf08c7155e4223fd8c3811007da,0.25,5.2e-08,2.80165e-13
32,0x9a5cc852772e8ee7ce788335d5e13784980c4459981323b9bd1310c39cbe27a5,0.065,2.8000001459e-08,5.58186e-13
33,0xfc24ba7bceaa25bbb8017d9fcf768bd86da5ef42c0d6654183400d7b8d01b672,0.165,3e-08,2.32146e-13
34,0xbc98fb6494de43f7e082f80e563bfab597016da60d9d869bf023154bf797db3f,0.38,6.6162653943e-08,3.4687e-13
35,0x4f6ec8899e50fde9eccaa667df67113e8d71055f8ce7671b608436358f594ed3,0.5,8.9e-08,3.1108e-13
36,0xb026cc43785ad145fccc2db7c01590d572c1a420904778eae1f778c798eb480b,0.065,2.8000001459e-08,5.41831e-13
37,0xdbe650a44d0367edb9770184786521f429781e72a89d9ba43795856734518aaf,0.065,3.6e-08,5.34919e-13
38,0xf892ef50798965744ed2178e05d32ed9a75f625a282600855eeea358f57ebc98,0.065,3.3e-08,5.34919e-13
39,0x98157620ef08fb3c400c258fdf319f244b0b4d0228e58284b5655a32664f58f2,0.065,2.8e-08,5.58186e-13
40,0x2d93e2d3e2442cd7e7efd60fdb1ba2a3b270fb2b7470d1e59c15add9c9eeb0b3,0.065,2.8e-08,5.63622e-13
41,0x31cdde3a11e20ad3d230bbac768284697d3cc4ffb6f03c165f080c6c226608fa,0.1998,3.709588257e-08,3.24625e-13
42,0x09809509a1e6bc5dfe008ca63229e05349456f68ee37033bd6d119bf637cec43,0.065,2.7e-08,5.34919e-13
43,0xa3032165fbbe135be23b9c97212acc99a9a8239a46990f4be9418ad70452029f,0.065,2.7e-08,5.58186e-13
44,0xaf5c78aa13c8090b94ca59ecb89d9c6cab7ede7094749a34a4fa74678f6341e5,0.065,2.7e-08,5.58186e-13
45,0xdd101274647010a6205e2271099efce00fc5116a0fa5f39309430277f1a26a54,0.14685169027677167,3.4e-08,2.42678e-13
46,0x525d3d9890e0b8a305b8506f1064ff04361fd6eebe76986984a74b4cf9364211,0.0,2.5002672449e-08,2.200149e-12
47,0x27261c620c73a59751acdd932ce2abfddd2a08d294673b5579d54c5ea99a18c9,0.065,2.8e-08,5.58186e-13
48,0x735986493ce7fbac5b282af96002d898ba5417c23d73e1e4bf2d06b7e8c8d928,0.065,2.8e-08,5.41831e-13
49,0xa1a3f801b24a39972a5aa0884cb87ec9892fda8087ccc8fc2eeba2d6b24f2437,0.065,2.8e-08,5.41831e-13
50,0x8d2f20c52796c89b6b20e5cc3996acd1e66beff25acac17c12f21f3545b2518f,0.065,2.8e-08,5.41831e-13
51,0x5c936453e1f59e7e464a0d576df47352ee77fd536e1aa680ae34f5e0c8fe2ff2,0.065,2.4e-08,5.41831e-13
52,0xf0c45c51d6c2cf9967a1eda3db17b4ee728bbd6020dd63418549a3c7ad861091,0.065,2.8e-08,5.41831e-13
53,0x4410ed6afa2fa3ad18db77dd42b531b02958782d1d31aa7035ea9518cea8d03b,0.065,2.5e-08,5.34919e-13
54,0xe7eb61c3f3baad56695d484d021080e3652d7243cbf2fe7655b78950fb9f3559,0.065,2.9e-08,5.34919e-13
55,0xa147aef6f76069024c0f275f0f97139018d190e556a226ee6aad880a3ff25acd,0.065,2.9e-08,5.58186e-13
56,0x12c3f73a349057b72d2b2f09acf06f27cf429f927d872664c859f337162af9d0,0.065,2.6e-08,5.41831e-13
57,0xb8ad571aa94b1c69855f4c9289efcd1d88bcf2eb143d77581bb6679bfb73e74e,0.065,2.2e-08,5.34919e-13
58,0x5ccfd7f892138c448339ff88ffc4be992f6d707f50847706886790ed76d06fa5,0.0,7.7e-08,3.29223e-13
59,0xb3ab81d45f29cd28d465f2bb1d7b101f100b7f0e7a490366c954035f13ce6106,0.45,1.9307496699e-07,3.24661e-13
60,0x2486b14430ba1c84d0e456c7bcf9e716c4117a24b158f3ea1a49da3001a78b8f,0.065,2.1e-08,5.41831e-13
61,0xe0ccc67066e3a7ab111dac3e53538c32123255b583fe51d32b2053ab90a3971e,0.065,2.6e-08,5.34919e-13
62,0xacf5fcd1c452177a791d41f4db4d7ce8317fd1ab25f2e7b0ead6569ed975a5e8,0.065,2.6e-08,5.34919e-13
63,0xa3fd0de7e6df1149d1a075cbe83baaf17eed92b999f654035657212a01e2aeaf,0.065,2.3e-08,5.41831e-13
64,0x2de2bbbf63b0f54e62f6e0e59baf4273c83deeece1b48c26c5aa0742385ab714,0.065,2.2e-08,5.58186e-13
65,0x31eda763de33098ba407943c22d0256e942ce0544ec6b482f0b41863005f376d,0.065,2.2e-08,5.58186e-13
66,0x52483e0d51c934cdd97c194a3d3c9d490bcb1f3e9964d147c5a6147c7da624cc,0.065,2.6e-08,5.41831e-13
67,0x885ab28fa1686982b2e9138b73e180c79a57103724fff807b864a8d9bcea57c1,0.065,2.6e-08,5.34919e-13
68,0x9020b17fa008ca9032d82ed73d86de8afa119a197216b180afbce3a701f9a127,0.0,9.5e-08,2.087198e-12
69,0x979f85fd2fc1a22a710c51f62f0cf561738bd28fa3da27a905082aed9f63a574,0.065,2.1e-08,5.41831e-13
70,0x36b5f32ca2556e6164acced5cd94d76feb41555cbd29b0a2d3e6ad4c1fb616ed,0.065,2.5e-08,5.41831e-13
71,0x0f005cee92ca5cd66c26d46f9273d70ed58ba8417ff2b4f3a5c1351e7b8e1a23,0.065,1.9000001459e-08,5.58186e-13
72,0x82ccd559e263f7d8be4c1c5bbd800d6b1545383ac4051161b71d4e3d8e81fa79,0.0,6.0597664727e-08,1.45329e-13
73,0xb1f18a2aa345fba26dc6efc0e7ba73db3b262f519a9966544f826ad5586f7fa6,0.0,8.6122997229e-08,1.86215e-13
