,hash,value,gasPrice,gas
0,0xf05cac2839933ee015aaff95324ef2961b0b732fec7a1abad2dfeb0447ec2cf7,0.064,3.11e-07,4.85052e-13
1,0xfe546491ff6c7a0cf9b853c6f26d58e11c15fcdf7f475fdc7d0bbc04dc39f0e3,0.0,4.5e-08,9.6898e-14
2,0x6d1ab0353cb213c466a02433d7258e23a5ac4346d36a85057705e87611b0b703,0.9,3.8e-08,3.02379e-13
3,0x48cd66898026080b824186b232a6918de0d6142d2f2e9bcfa10a32438a8b7f05,2.4999,7.5291712688e-08,3.29394e-13
4,0x21904a1b8eb3cf1737134e86703934bdd8e63b71ce78bc4c992f573eff746b47,1.9,1.05102590102e-07,3.24594e-13
5,0x9e660211863883c062aec0d6e15243118fae709c14016cbf078b36561f513640,0.0,1.22761078725e-07,3.59398e-13
6,0xadac76b1f23ed940186957d2b1325399e047a178ee66205269a5d1821347bccb,1.7955,8.2904412187e-08,3.11179e-13
7,0x7f797ce2161d66312e819cedebc4fc77f56f8c965095ea04f57380f40c6546e4,1.09,1.11e-07,3.02462e-13
8,0x96b9deef3cf116af43f180be765d3b7c46c35b0cf60381e60dc18f418d3d8a78,0.95,1.27490279523e-07,3.02379e-13
9,0x641e54725d0bc336a5805d8e9f1bc8c605fa46e79eff823755a311c16ab6d654,0.0,9.8395213935e-08,8.3427e-14
10,0xf296d8137bab1b82b1457509badc078e1fc2b41c9cf3b1059344b18f37df1dee,0.064,3.1e-07,4.85052e-13
11,0x5769adc7174bceb32671d1feceeec96075b6e192f5f7af25357e2b4c8077c52e,0.0,5.6e-08,9.6898e-14
12,0x6c7371d83e5397505249f10699ee0f52083e3daf96008fda2e05e02ba834c9fc,0.89,2.3255390995e-08,3.46639e-13
13,0x0da91ce6eff1d04b47bf9fcb368aa4d26bb4318ab99b5aae56cafa7fa1b16f6f,1.85,8.6230797488e-08,3.2464e-13
14,0x08f1c9eb9ae8cc88b70b08701a1611a56ad1472125bdb09e5a75a00b880f9b93,0.064,3.11e-07,4.83424e-13
15,0xc58cf3fb563ff74c43a4d496be4180cf4fba7bc6e46b556d715c53a5765cc0f8,0.15,4.2e-08,2.3495e-13
16,0x491729098156d632d7302d8adc5e9255da76768cc36bbccd1ed620079e8db30c,0.425,4.2e-08,2.34938e-13
17,0x86267ed077400189bc4c6fbbf9106c77749009fe722757518eddf2275ca29672,0.49,4.1e-08,2.2416e-13
18,0x764110cd32bbec3b37459cc96f59a5160bef2b19ea860fcfa218311fbf22404e,0.0,8.657993244e-08,1.20427e-13
19,0xfa5cdfa6a5e8710966dfde0a19525086489228edabc60eb9ae83f960a98bd1ec,0.361,2.6703527459e-08,3.52887e-13
20,0xc31dd4013585fcf6bc34001970715d3780cf491d2d1bfd22329cd70dabbb4d15,0.064,3.05e-07,4.85052e-13
21,0xfedfdb467fca31abd512c40431804c58fcdd3f875c74718480164a08e2cca191,0.064,3.03e-07,4.85052e-13
22,0xa123df4a05d6f1d44ec0807f3491f0f87713fa27b81479464cad576d51fab631,0.4,1.22e-07,2.2874e-13
23,0x1ee7464d993d92a9f478968ed2fd240a2289e74c220b6ddb437f4be8b98c7abb,1.81,5.7557595605e-08,3.46824e-13
24,0x59d12b0a668ca94e18d690b63e94dfd064bb65e0e0e291e3695f425d3e48c081,0.0,6.7413127882e-08,1.13998e-13
25,0x19706a645baa03bc21bca038decdf9da88c87082853be9c5ffc7c7e58e9c2be5,0.064,3.03e-07,4.85052e-13
26,0xb223806960501c5f534a0c92f4ba349ccb0d158b8242899c69d3014de9d86922,0.064,3.03e-07,4.85052e-13
27,0x83ecd34dead56c8e333bf070830a1804d4fb288c8ecd93fa85ba46e92602d7c4,0.195,8.4e-08,2.59101e-13
28,0xeb9d746535a297ba22a76856d265f0b36876d3aa264438af8d0aac63c1df66ec,0.88,5.6e-08,2.55886e-13
29,0x9cdec9ac44de3b8934200581867f0650e209af80186b43fda802b4f3718494b8,0.0,8.706776811e-08,3.92663e-13
30,0x89958f51a39f7b424e2bea6f0afce12426d0c411460cb4f20ebe246828077132,0.064,3.03e-07,4.85052e-13
31,0x290b8047476eeb4cdbdce7d911f6a70a3c287d7afa0d4e660e744bcb86b2f975,0.33,1.43e-07,2.28764e-13
32,0x8844270bcb04b19c443c4e566b7cc5418f04051a1ec7fcd5eeaed4e87fbb3a60,2.0,4.4309646058e-08,3.02332e-13
33,0x4443a2d8630a5993d284f412c224cccb8e14a907d6f1c1343c7ace20f50cd058,0.064,3.02e-07,4.86679e-13
34,0x137d89ed46506c757e1192fd27d11b1f8f3749b95fdc27a4c57de2a3ff4bf9fc,3.0,1.2e-07,2.15741e-13
35,0x852c10fcf1a3ebf7331e91125d4bf8aa1b473e86685397743a3c2bfeb512bb50,3.5,1.24846688425e-07,5.56468e-13
36,0x71e8b97caafa768514a42e4c18d963404c07c412d02574ff834868aa07e87d3d,0.064,3e-07,4.85052e-13
37,0xa6acef89e23f9650508a332bb726c0f6d79cdc134315479f8393347780cac2ff,0.064,3e-07,4.83424e-13
38,0x4274dadbac0f359389dfab082458a6e1f0027344b91a15a72b4c41a72516dcfe,0.064,2.99e-07,4.83424e-13
39,0x9eb3dd9efa645e94c0b3de93a74cc8fb25d945bd463aa1691c4cb1557c3981a5,0.0,1.5e-08,2.73331e-13
40,0xb21585f549fca38f35586b7248af931e8630e8edacddaacac7b7d83d52c8b603,0.6,1.10664392919e-07,3.02478e-13
41,0x870d4fe4614355be69713fc0f7d8bfbe03892f24618c249aec0c4c75d020629a,0.064,2.98e-07,4.85052e-13
42,0xb29562d3504be4ee4ceeda175d6ca821bb9e4c492b24b2f0d42789f34347161e,0.0,6.6e-08,1.03998e-13
43,0xcd61c5f1e1ec0d9ac3d0229c9df7c0c3474fd954d15ce4af7bb3643895ee56ff,0.064,2.97e-07,4.86679e-13
44,0xc911f01492e764476d98b16b8efd84cc5ca368318c27a7e2d193ee745cfcdee3,0.0,2.9e-08,9.6898e-14
45,0x5ee02cc2c63abf81db0da5753bb7b84cf1bfbbc3c2e503ce22a640375a0f3704,0.17,2.5e-08,2.34889e-13
46,0xf851b1d773ad4d64753151e3c22db69f2ba6f99a97bfb1ff83111b7f99417968,0.3,8.9645115735e-08,3.46938e-13
47,0xdc91d79b02872f89960ae7c4309388d0224b43d94bf57eb97afa290913a9eae1,0.064,2.948e-07,4.85052e-13
