,hash,value,gasPrice,gas
0,0xb2341c9d336507620f7254d0a51306913a8ec476ccd6aac341876c1fb16cac3b,0.04,6.89e-08,5.3605e-13
1,0x0e67025005a4049244b11be2452e5ce585a2db11230ca6821c119a49befc2397,0.0,4.7323875979e-08,1.172954e-12
2,0xba35cabf03ba589a37df3e77e19eff2d6163f93944230d3ea03eb6c0420970b9,0.04,6.82e-08,5.21172e-13
3,0xd3e8a1828d7a2d131d55d90f513df51aa4e5fba1281ed0ed8d90bc9fb5794546,0.04,6.7e-08,5.59317e-13
4,0x12c5f285a50157bcccbf4d590d31304ab0f78a98f35fcf9c396be54c03f62614,0.0,2.2836537351e-08,1.7644e-13
5,0x22314629bbb69d1b13b5e3183dc82d6b8df3de9d83c843841ccb3e62b57fd725,0.04,6.7e-08,5.59317e-13
6,0xe3e670920234d9efa285853eea074de0f2f4017a438cf9bac53bfae15ecc5610,0.0,3e-08,4.91561e-13
7,0xab50a932bc3e84b61aeb03162afda7b155e8c4bde70006400437cc1c269c0a55,0.04,6.71e-08,5.21172e-13
8,0xcaa7a082fd3ece9eeee86aa79af3f3fe5798804911afa0f7d0894ed7a7a31f00,0.04,6.71e-08,5.1426e-13
9,0x6d22ec18fc67a7a886fb82c647145774a9f5a6a7fa4b3078cff2f73641868bb1,0.04,6.6e-08,5.1426e-13
10,0x471ad3e4b3a5072d50fe3e6509fbac7fe34ad0eadaf5ba2fe10f25ae767f6433,0.075,3.5e-08,2.34974e-13
11,0x702c6bafed21a64166c9f21567ff639651ea2964e141893e842bdcaf30fc4bc1,0.04,6.1600000233e-08,5.1426e-13
12,0xeca74aee477aae57b37a660e112bbe74b5d23099254a048518670d6b3bbe007f,0.04,6.16e-08,5.21172e-13
13,0x118afd0f8623229685c5968d6ea55b8a8b454a09fdfe2d6513b7e553d26494ba,0.25,2.2e-08,2.32122e-13
14,0xa6a4f6516107d163d3d16cbbb23eaf66241d3a0b1653802be2aaeb9bbda373f8,0.0,1.00597153563e-07,1.783935e-12
15,0xc93404878e5f6fbd03c695818475605fcdd80e7e022ae9021736d90684e4e95b,0.0,3.3e-08,3.94867e-13
16,0xcedd6a520bdf73368d183cc120a1899a18658072e7e7e5db9763d2933ab4250c,0.25,4.2e-08,2.2874e-13
17,0xfa63f0e7f4340f9e85319108e9b4bc36ee19c7a145eb84f29b805d8592ad83e4,1.5,9.2e-08,2.28668e-13
18,0x8cc7f03d8299f933b2912d5181bffd0a5709c11c7d2937939607ecd64b8a86b6,0.0,9.5e-08,1.381125e-12
19,0xb45be6e492f987d37b1199ccce7644125cd692276cdabf4b3c0b777bc74af5c7,8.9,2.6e-08,2.35168e-13
20,0xe4c97724b038040e9cbe006102b6923a0a1f50a5499fca7f2904eab56424ea34,5.0,1.02073375855e-07,3.02332e-13
21,0x27aea140a0aabb029643eae0d756575a44cd15ccd2ccf879e5bf0e16e125cc9f,0.0,6.969822252e-08,2.022962e-12
22,0x70cb6b625035792b403c4afd84e953b1d7a70dc1be76725fabf7a80c7e19c019,0.04,6.6e-08,5.42962e-13
23,0xdc4c62159b74b67b1cba94da95580431e70c396f4badb90db878cb026ebc82fb,0.04,5.6e-08,5.21172e-13
24,0x55b7d533d25dec8055e38178b99e38c3963ce9c0acb4ea04942d8effcf41c44f,0.0,3.6300386046e-08,9.6886e-14
25,0xb05d9a321467dc01f05ed3fe4afbbfc9b50c4dfed7733f47990690142abdfd6f,0.04,6.1e-08,5.21172e-13
