"DateTime";"Primary sales USD";"Secondary sales USD"
"2021-03-26 00:00:00";8600,51;58989,83
"2021-03-27 00:00:00";7107,95;65994,33
"2021-03-28 00:00:00";138363,56;86446,66
"2021-03-29 00:00:00";86333,15;125947,56
"2021-03-30 00:00:00";19038,27;81423,42
"2021-03-31 00:00:00";42613,35;105113,81
"2021-04-01 00:00:00";17407,39;93338,42
"2021-04-02 00:00:00";54558,67;159579,3
"2021-04-03 00:00:00";29775,65;163308,99
"2021-04-04 00:00:00";24545,57;93057,18
"2021-04-05 00:00:00";107948,13;91260,68
"2021-04-06 00:00:00";46204,24;292125,89
"2021-04-07 00:00:00";117620,68;141423,28
"2021-04-08 00:00:00";26762,5;177442,71
"2021-04-09 00:00:00";23959,39;288379,74
"2021-04-10 00:00:00";236702,37;321876,7
"2021-04-11 00:00:00";43830;402648,42
"2021-04-12 00:00:00";23970,51;191181,34
"2021-04-13 00:00:00";45463,3;244652,16
"2021-04-14 00:00:00";97002,09;187413,79
"2021-04-15 00:00:00";9596,95;171271,04
"2021-04-16 00:00:00";183688,25;171689,42
"2021-04-17 00:00:00";7720,38;89032,1
"2021-04-18 00:00:00";17645,78;53273,51
"2021-04-19 00:00:00";10566,57;40710,71
"2021-04-20 00:00:00";4339,89;19411,58
"2021-04-21 00:00:00";6905,82;103564,85
"2021-04-22 00:00:00";3957,29;76622,67
"2021-04-23 00:00:00";275777,35;346786,04
"2021-04-24 00:00:00";46590,32;125631,69
"2021-04-25 00:00:00";23745,06;128013,16
"2021-04-26 00:00:00";101348,04;125596,99
"2021-04-27 00:00:00";17486,97;200970,93
"2021-04-28 00:00:00";12921,86;68200,27
"2021-04-29 00:00:00";35605,89;31404,99
"2021-04-30 00:00:00";183855,03;214157,97
"2021-05-01 00:00:00";98135,34;165585,14
"2021-05-02 00:00:00";15380,02;109361,92
"2021-05-03 00:00:00";8622,35;108169,59
"2021-05-04 00:00:00";26891,79;48811,46
"2021-05-05 00:00:00";14212,28;27535,44
"2021-05-06 00:00:00";4180,75;78460,47
"2021-05-07 00:00:00";226790,87;120752,21
"2021-05-08 00:00:00";27771,31;34121,32
"2021-05-09 00:00:00";20240,7;52918,98
"2021-05-10 00:00:00";3055,3;95700,78
"2021-05-11 00:00:00";0;29965,31
"2021-05-12 00:00:00";1227,43;177453,53
"2021-05-13 00:00:00";4617,38;36259,29
"2021-05-14 00:00:00";415480,86;213264,31
"2021-05-15 00:00:00";51570,14;116318,91
"2021-05-16 00:00:00";11124,12;94347,64
